New-World-chat, chat
longleaf-pine,-pitch-pine,-southern-yellow-pine,-Georgia-pine,-Pinus palustris
stargazer
whorled-aster,-Aster acuminatus
bramble bush
barnacle-goose,-barnacle,-Branta leucopsis
guama,-Inga laurina
coreopsis,-tickseed,-tickweed, tick-weed
Moreton-Bay-tulipwood,-Harpullia pendula
bulbul
water-clover,-Marsilea quadrifolia
sterculia
marine-animal,-marine-creature,-sea-animal,-sea creature
mudskipper, mudspringer
Stapelias asterias
hoop-pine,-Moreton-Bay-pine,-Araucaria cunninghamii
cineraria,-Pericallis-cruenta,-Senecio cruentus
feterita,-federita,-Sorghum-vulgare caudatum
cuttlefish, cuttle
bryanthus
stream-orchid,-chatterbox,-giant-helleborine,-Epipactis gigantea
chameleon-tree frog
homo,-man,-human-being, human
bullock, steer
redfish
phalanger,-opossum, possum
curlew-sandpiper,-Calidris Ferruginea
orchid,-orchidaceous plant
Italian-ryegrass,-Italian-rye,-Lolium multiflorum
Virginia-deer,-white-tail,-whitetail,-white-tailed-deer,-whitetail-deer,-Odocoileus Virginianus
japanese-clover,-japan-clover,-jap-clover,-Lespedeza striata
armyworm,-Pseudaletia unipuncta
savoy-cabbage, savoy
dog-day-cicada,-harvest fly
common-heath,-Epacris impressa
epiphyllum,-orchid cactus
wattle
railroad bed
mulberry,-mulberry tree
marriage bed
Manx,-Manx cat
smooth-leaved-elm,-European-field-elm,-Ulmus carpinifolia
capital ship
cattleship,-cattle boat
yellow-jasmine,-yellow-jessamine,-Carolina-jasmine,-evening-trumpet-flower,-Gelsemium sempervirens
kei-apple,-kei-apple-bush,-Dovyalis caffra
winter-squash,-winter-squash plant
giant-eland,-Taurotragus derbianus
limpkin,-aramus pictus
comfrey, cumfrey
manakin
yellow-adder's-tongue,-trout-lily,-amberbell,-Erythronium americanum
India-rubber-tree,-India-rubber-plant,-India-rubber-fig,-rubber-plant,-Assam-rubber,-Ficus elastica
mountain-zebra,-Equus-zebra zebra
ivy,-common-ivy,-English-ivy,-Hedera helix
field-mouse, fieldmouse
redbud,-Cercis canadensis
lantern-fly, lantern-fly
pickaback-plant,-piggyback-plant,-youth-on-age,-Tolmiea menziesii
water snake
tarragon, estragon
Western-box-turtle,-Terrapene ornata
European-catfish,-sheatfish,-Silurus glanis
siskin,-Carduelis spinus
star-of-Bethlehem
orangutan,-orang,-orangutang,-pongo pygmaeus
kanchil,-Tragulus kanchil
Texas-chachalaca,-Ortilis-vetula macalli
peba,-nine-banded-armadillo,-Texas-armadillo,-Dasypus novemcinctus
aurochs,-urus,-Bos primigenius
styracosaur, styracosaurus
crooked-stemmed aster
milk-snake,-house-snake,-milk-adder,-checkered-adder,-Lampropeltis triangulum
apomict
black walnut
silverrod,-Solidago bicolor
rhinoceros beetle
basilisk
welted-thistle,-Carduus crispus
oviraptorid
horned owl
caladenia
broccoli
sumac,-sumach, shumac
white-croaker,-queenfish,-Seriphus politus
American-rock-brake,-American-parsley-fern,-Cryptogramma acrostichoides
ostrich,-struthio camelus
liana
large-white,-Pieris brassicae
evergreen-bittersweet,-Euonymus-fortunei-radicans,-Euonymus-radicans vegetus
pectoral-sandpiper,-jacksnipe,-Calidris melanotos
cowpen-daisy,-golden-crownbeard,-golden-crown-beard,-butter-daisy,-Verbesina-encelioides,-Ximenesia encelioides
white pine
nail-tailed-wallaby,-nail-tailed kangaroo
silverback
emperor-butterfly, emperor
broomweed,-broom-weed,-Gutierrezia texana
scavenger
peregrine,-peregrine-falcon,-Falco peregrinus
elegant-Habenaria,-Habenaria elegans
ring-ouzel,-ring-blackbird,-ring-thrush,-Turdus torquatus
saltwort,-barilla,-glasswort,-kali,-kelpwort,-Salsola-kali,-Salsola soda
yam,-yam plant
pomelo, shaddock
Morrow's-honeysuckle,-Lonicera morrowii
American-frogbit,-Limnodium spongia
bigeye-scad,-big-eyed-scad,-goggle-eye,-Selar crumenophthalmus
woodwaxen,-dyer's-greenweed,-dyer's-broom,-dyeweed,-greenweed,-whin,-woadwaxen,-Genista tinctoria
bicycle-seat, saddle
plantain
scrub-beefwood,-beefwood,-Stenocarpus salignus
delphinium
Ayrshire
daybed,-divan bed
saurischian,-saurischian dinosaur
deck-chair,-beach chair
tench,-Tinca tinca
domestic-silkworm-moth,-domesticated-silkworm-moth,-Bombyx mori
bonnet-macaque,-bonnet-monkey,-capped-macaque,-crown-monkey,-Macaca radiata
wild dog
leaf-lettuce,-Lactuca-sativa crispa
spat, gaiter
piddock
agave,-century-plant,-American aloe
reed grass
goldeneye,-whistler,-Bucephela clangula
swamp-birch,-water-birch,-mountain-birch,-Western-paper-birch,-Western-birch,-Betula fontinalis
Australian-reed-grass,-Calamagrostic quadriseta
strawflower
migrator
courbaril,-Hymenaea courbaril
savoy cabbage
red buckeye
sea urchin
sled-dog,-sledge dog
silver-maple,-Acer saccharinum
trundle-bed,-trundle,-truckle-bed, truckle
Scythian-lamb,-Cibotium barometz
pasqueflower,-pasque flower
cabin-car, caboose
msasa,-Brachystegia speciformis
hiccup-nut,-hiccough-nut,-Combretum bracteosum
red-backed-sandpiper,-dunlin,-erolia alpina
South-African-yellowwood,-Podocarpus latifolius
bunny,-bunny rabbit
poke,-pigeon-berry,-garget,-scoke,-Phytolacca americana
cat box
dandelion, blowball
knot,-greyback,-grayback,-Calidris canutus
yellow squash
yellow-breasted-bunting,-Emberiza aureola
medic,-medick, trefoil
hegari
sea-slug, nudibranch
lappet caterpillar
achillea
fringed-pink,-Dianthus supurbus
bearberry,-possum-haw,-winterberry,-Ilex decidua
Japanese-yew,-Taxus cuspidata
wharf rat
rough-skinned-newt,-Taricha granulosa
clementine,-clementine tree
live oak
Old-World-flycatcher,-true-flycatcher, flycatcher
pole-horse, poler
white-alder,-mountain-alder,-Alnus rhombifolia
whitebait
mountain everlasting
black-and-gold-garden-spider,-argiope aurantia
babassu,-babassu-palm,-coco-de-macao,-Orbignya-phalerata,-Orbignya-spesiosa,-Orbignya martiana
round-scad,-cigarfish,-quiaquia,-Decapterus punctatus
China-tree,-false-dogwood,-jaboncillo,-chinaberry,-Sapindus saponaria
German-ivy,-Delairea-odorata,-Senecio milkanioides
meerkat, mierkat
granadilla
hoary-willow,-sage-willow,-Salix candida
Gentianopsis-detonsa,-Gentiana detonsa
longhorn,-Texas longhorn
jersey
timber-wolf,-grey-wolf,-gray-wolf,-canis lupus
hen, biddy
chafeweed,-wood-cudweed,-Gnaphalium sylvaticum
common-iguana,-iguana,-iguana iguana
barber chair
snakebird,-anhinga, darter
scarlet-runner,-scarlet-runner-bean,-Dutch-case-knife-bean,-runner-bean,-Phaseolus-coccineus,-Phaseolus multiflorus
rugel's-plantain,-broad-leaved-plantain,-Plantago rugelii
true marmoset
melancholy-thistle,-Cirsium-heterophylum,-Cirsium helenioides
stock, gillyflower
freight-liner,-liner train
coco-plum,-coco-plum-tree,-cocoa-plum,-icaco,-Chrysobalanus icaco
cinnamon
salamander
coralbells,-Heuchera sanguinea
birch,-birch rod
Missouri-goldenrod,-Solidago missouriensis
mossy-saxifrage,-Saxifraga hypnoides
olive,-European-olive-tree,-Olea europaea
Canadian-aspen,-bigtooth-aspen,-bigtoothed-aspen,-big-toothed-aspen,-large-toothed-aspen,-large-tooth-aspen,-Populus grandidentata
spider-orchid,-Brassia lawrenceana
Jerusalem-thorn,-horsebean,-Parkinsonia aculeata
spikemoss,-spike-moss,-little-club moss
Old-World-warbler,-true warbler
potoroo
young, offspring
harpulla,-Harpullia cupanioides
parsley
groundfish,-bottom fish
mutisia
hard-tick, ixodid
skunk-cabbage,-polecat-weed,-foetid-pothos,-Symplocarpus foetidus
myriapod
tufted-puffin,-Lunda cirrhata
lynx, catamount
Swan-River-daisy,-Brachycome Iberidifolia
pigeon-pea,-pigeon-pea-plant,-cajan-pea,-catjang-pea,-red-gram,-dhal,-dahl,-Cajanus cajan
lancelet, amphioxus
spiderflower, cleome
tanbark-oak,-Lithocarpus densiflorus
queen bee
lug
winter-savory,-Satureja-montana,-Satureia montana
quetzal,-quetzal bird
meadow-salsify,-goatsbeard,-shepherd's-clock,-Tragopogon pratensis
badger
sleeping-car,-sleeper, wagon-lit
ladder-truck,-aerial-ladder truck
spike rush
desert-mariposa-tulip,-Calochortus kennedyi
spider
steenbok,-steinbok,-Raphicerus campestris
pine sawyer
caddisworm, strawworm
Chinese-angelica,-Chinese-angelica-tree,-Aralia stipulata
garden-centipede,-garden-symphilid,-symphilid,-Scutigerella immaculata
dace,-Leuciscus leuciscus
mummichog,-Fundulus heteroclitus
American-white-pine,-eastern-white-pine,-weymouth-pine,-Pinus strobus
groundhog,-woodchuck,-Marmota monax
Scopolia carniolica
yarrow,-milfoil,-Achillea millefolium
polyphemus-moth,-Antheraea polyphemus
English-plantain,-narrow-leaved-plantain,-ribgrass,-ribwort,-ripple-grass,-buckthorn,-Plantago lanceolata
broad-beech-fern,-southern-beech-fern,-Phegopteris-hexagonoptera,-Dryopteris-hexagonoptera,-Thelypteris hexagonoptera
hand-fern,-Doryopteris pedata
plum-yew
tarweed
pink-shower,-pink-shower-tree,-horse-cassia,-Cassia grandis
Florida-pompano,-Trachinotus carolinus
senega,-Polygala alba
vicuna
cutlassfish,-frost-fish, hairtail
European-wildcat,-catamountain,-Felis silvestris
Mexican-pocket-mouse,-Liomys irroratus
pineapple, ananas
black-rat-snake,-blacksnake,-pilot-blacksnake,-mountain-blacksnake,-Elaphe obsoleta
harvest-mite,-chigger,-jigger, redbug
black-cottonwood,-Western-balsam-poplar,-Populus trichocarpa
feijoa,-feijoa bush
sand-dropseed,-Sporobolus cryptandrus
guar,-cluster-bean,-Cyamopsis-tetragonolobus,-Cyamopsis psoraloides
keurboom,-Virgilia-capensis,-Virgilia oroboides
liver chestnut
dickeybird,-dickey-bird,-dickybird, dicky-bird
baboon
babirusa,-babiroussa,-babirussa,-Babyrousa Babyrussa
Wollemi pine
sweet-fern,-Comptonia-peregrina,-Comptonia asplenifolia
cultivated-rice,-Oryza sativa
ragwort,-tansy-ragwort,-ragweed,-benweed,-Senecio jacobaea
cudweed
squirrelfish
Tennessee-walker,-Tennessee-walking-horse,-Walking-horse,-Plantation-walking horse
tomtate,-Haemulon aurolineatum
tomatillo,-jamberry,-Mexican-husk-tomato,-Physalis ixocarpa
fer-de-lance,-Bothrops atrops
ibex,-Capra ibex
leek
gramineous-plant,-graminaceous plant
Swiss-pine,-Swiss-stone-pine,-arolla-pine,-cembra-nut-tree,-Pinus cembra
ice-plant,-icicle-plant,-Mesembryanthemum crystallinum
Tasmanian-devil,-ursine-dasyure,-Sarcophilus hariisi
currant,-currant bush
black-mallee,-black-sally,-black-gum,-Eucalytus stellulata
American-white-birch,-paper-birch,-paperbark-birch,-canoe-birch,-Betula-cordifolia,-Betula papyrifera
hornbill
broomcorn-millet,-hog-millet,-Panicum miliaceum
sea fan
glass sponge
hortensia,-Hydrangea-macrophylla hortensis
southern-flying-squirrel,-Glaucomys volans
Dandie-Dinmont,-Dandie-Dinmont terrier
cardoon,-Cynara cardunculus
fragrant-orchid,-Gymnadenia conopsea
cheetah,-chetah,-Acinonyx jubatus
ragweed,-ambrosia, bitterweed
candlenut
Rhodesian-man,-Homo rhodesiensis
garter-snake,-grass snake
Sauvignon blanc
snow-leopard,-ounce,-panthera uncia
amphibian,-amphibious vehicle
gutta-percha tree
Indian-elephant,-Elephas maximus
red cabbage
surface ship
serow
Ligustrum obtusifolium
common-camas,-Camassia quamash
cockerel
silverspot
mackerel-scad,-mackerel-shad,-Decapterus macarellus
fur seal
nopal
nopal,-Opuntia lindheimeri
Japanese-honeysuckle,-Lonicera japonica
fisher,-pekan,-fisher-cat,-black-cat,-Martes pennanti
seizure-alert dog
plant-louse, louse
zebra
calla-lily,-calla,-arum-lily,-Zantedeschia aethiopica
gastropod, univalve
Andean-condor,-Vultur gryphus
garden-forget-me-not,-Myosotis sylvatica
eared seal
Caucasian-walnut,-Pterocarya fraxinifolia
small-white,-Pieris rapae
female
European-shrike,-Lanius excubitor
annual-salt-marsh aster
piping-crow,-piping-crow-shrike,-Gymnorhina tibicen
low-bush-blueberry,-low-blueberry,-Vaccinium-angustifolium,-Vaccinium pennsylvanicum
sandwort,-Moehringia mucosa
amazon
mountain ash
granadilla,-sweet-granadilla,-Passiflora ligularis
key-palm,-silvertop-palmetto,-silver-thatch,-Thrinax-microcarpa,-Thrinax-morrisii,-Thrinax keyensis
Japanese-apricot,-mei,-Prunus mume
cymbid, cymbidium
flounder
disa
European-roller,-Coracias garrulus
mayapple,-May-apple,-wild-mandrake,-Podophyllum peltatum
froghopper
European-house-cricket,-Acheta domestica
soft-shelled-turtle,-pancake turtle
cabbage butterfly
horse-balm,-horseweed,-stoneroot,-stone-root,-richweed,-stone-root,-Collinsonia canadensis
maypop,-Passiflora incarnata
Atlantic-walrus,-Odobenus rosmarus
heath-hen,-Tympanuchus-cupido cupido
sand-fly,-sandfly,-Phlebotomus papatasii
cotinga, chatterer
cohune-palm,-Orbignya-cohune, cohune
canary-grass,-birdseed-grass,-Phalaris canariensis
muscat,-muscatel,-muscat grape
racing boat
greenwing,-green-winged-teal,-Anas crecca
white-broom,-white-Spanish-broom,-Cytisus-albus,-Cytisus multiflorus
car-tire,-automobile-tire,-auto-tire,-rubber tire
Indian-hemp,-rheumatism-weed,-Apocynum cannabinum
legume
cockspur,-Pisonia aculeata
procellariiform seabird
common-winterberry holly
Canada-thistle,-creeping-thistle,-Cirsium arvense
prairie-vole,-Microtus ochrogaster
surfperch,-surffish,-surf fish
plumbago
phantom-orchid,-snow-orchid,-Eburophyton austinae
guard ship
sand-rat,-Meriones longifrons
Manx-shearwater,-Puffinus puffinus
sheep-tick,-sheep-tick,-Ixodes ricinus
cackler
killer-whale,-killer,-orca,-grampus,-sea-wolf,-orcinus orca
bullhead
by-catch, bycatch
American-water-ouzel,-Cinclus mexicanus
fictional animal
barbados-cherry,-acerola,-Surinam-cherry,-West-Indian-cherry,-Malpighia glabra
milk-thistle,-lady's-thistle,-Our-Lady's-mild-thistle,-holy-thistle,-blessed-thistle,-Silybum marianum
calaba,-Santa-Maria-tree,-Calophyllum calaba
European-fire-salamander,-Salamandra salamandra
puka,-Griselinia lucida
newt, triton
caricature-plant,-Graptophyllum pictum
treehopper
wool-grass,-Scirpus cyperinus
griffon,-wire-haired-pointing griffon
teredo
spleenwort
anopheline
box-elder,-ash-leaved-maple,-Acer negundo
touring_car, phaeton, tourer
pondweed
taenia
gymnospermous yellowwood
carnivorous-bat, microbat
coltsfoot,-Tussilago farfara
poison-bush,-poison-pea, gastrolobium
barking-frog,-robber-frog,-Hylactophryne augusti
dwarf-dandelion,-Krigia-dandelion,-Krigia bulbosa
rue
lambkin
soft-shell-crab,-soft-shelled crab
skunk,-polecat,-wood pussy
chickeree,-Douglas-squirrel,-Tamiasciurus douglasi
fighter,-fighter-aircraft,-attack aircraft
brook-thistle,-Cirsium rivulare
white-wolf,-arctic-wolf,-canis-lupus tundrarum
featherfoil, feather-foil
aphid
frostweed,-frost-weed,-frostwort,-Helianthemum-canadense,-Crocanthemum canadense
almond tree
Virginian-stock,-Virginia-stock,-Malcolmia maritima
sagebrush-mariposa-tulip,-Calochortus macrocarpus
California-condor,-Gymnogyps californianus
trap-door spider
dogfish
blackbird,-merl,-merle,-ouzel,-ousel,-European-blackbird,-Turdus merula
ostrich-fern,-shuttlecock-fern,-fiddlehead,-Matteuccia-struthiopteris,-Pteretis-struthiopteris,-Onoclea struthiopteris
jujube
wood-sage,-Teucrium scorodonia
cotton-rat,-Sigmodon hispidus
grain,-food-grain, cereal
tatouay,-cabassous,-Cabassous unicinctus
Alpine-anemone,-mountain-anemone,-Anemone tetonensis
sorghum,-sorghum molasses
food fish
European-black-grouse,-heathfowl,-Lyrurus tetrix
pavonia
tiger,-Panthera tigris
collared lizard
hepatica, liverleaf
rockfish
sycamore,-great-maple,-scottish-maple,-Acer pseudoplatanus
wild-lily-of-the-valley,-shinleaf,-Pyrola elliptica
myna,-mynah,-mina,-minah,-myna-bird,-mynah bird
topminnow,-poeciliid-fish,-poeciliid, live-bearer
painted-daisy,-pyrethrum,-Tanacetum-coccineum,-Chrysanthemum coccineum
mackerel
panda car
blue fox
potato-fern,-Marattia salicina
umbrella-tree,-Schefflera-actinophylla,-Brassaia actinophylla
sissoo,-sissu,-sisham,-Dalbergia sissoo
Australian-blacksnake,-Pseudechis porphyriacus
spotted-antbird,-Hylophylax naevioides
parsnip,-Pastinaca sativa
kudu,-koodoo, koudou
black-calla,-Arum palaestinum
agama
wood-ant,-Formica rufa
green-turtle,-Chelonia mydas
rush aster
paper-mulberry,-Broussonetia papyrifera
Indian-madder,-munjeet,-Rubia cordifolia
ridley
homing-pigeon, homer
purple-apricot,-black-apricot,-Prunus dasycarpa
golden thistle
bath chair
spotted-owl,-Strix occidentalis
blacksnake,-black-racer,-Coluber constrictor
red-wolf,-maned-wolf,-canis-rufus,-canis niger
silver-tree,-Leucadendron argenteum
sugar-bush,-sugar-sumac,-Rhus ovata
sandbar-shark,-Carcharhinus plumbeus
crocodile-bird,-Pluvianus aegyptius
mackinaw,-Mackinaw boat
wild-tamarind,-Lysiloma-latisiliqua,-Lysiloma bahamensis
angiopteris,-giant-fern,-Angiopteris evecta
whitetip-shark,-reef-whitetip-shark,-Triaenodon obseus
halogeton,-Halogeton glomeratus
freshwater-bream, bream
scorpion
bluebonnet,-buffalo-clover,-Texas-bluebonnet,-Lupinus subcarnosus
harp-seal,-Pagophilus groenlandicus
sulphur-crested-cockatoo,-kakatoe-galerita,-cacatua galerita
coral-root-bittercress,-coralroot,-coralwort,-Cardamine-bulbifera,-Dentaria bulbifera
honeysuckle,-Australian-honeysuckle,-coast-banksia,-Banksia integrifolia
creeping-oxalis,-creeping-wood-sorrel,-Oxalis corniculata
ox,-wild ox
purple-fringed-orchid,-purple-fringed-orchis,-Habenaria psycodes
mastodon, mastodont
amethystine python
flat-topped-white aster
kidney-vetch,-Anthyllis vulneraria
afropavo,-Congo-peafowl,-Afropavo congensis
sidewinder
tadpole shrimp
basket-fern,-toothed-sword-fern,-Nephrolepis pectinata
snake-polypody, Microgramma-piloselloides
copperhead,-Agkistrodon contortrix
ascidian tadpole
pterosaur,-flying reptile
prickly-pear,-prickly-pear cactus
gourd, calabash
leaf-footed-bug,-leaf-foot bug
motorcycle, bike
common-eel,-freshwater eel
barred-owl,-Strix varia
yellow-lady's-slipper,-yellow-lady-slipper,-Cypripedium-calceolus,-Cypripedium parviflorum
cockscomb, coxcomb
sand-devil's-claw,-Proboscidea-arenaria,-Martynia arenaria
varnish-tree,-lacquer-tree,-Chinese-lacquer-tree,-Japanese-lacquer-tree,-Japanese-varnish-tree,-Japanese-sumac,-Toxicodendron-vernicifluum,-Rhus verniciflua
three-toed-sloth,-ai,-Bradypus tridactylus
waders
pill bug
feather-ball,-Mammillaria plumosa
sierra,-Scomberomorus sierra
pacer
buckwheat,-Polygonum-fagopyrum,-Fagopyrum esculentum
golden-wattle,-Acacia pycnantha
tundra-swan,-Cygnus columbianus
trumpeter
nonstarter
bald-eagle,-American-eagle,-Haliaeetus leucocephalus
baggage-car,-luggage van
polychaete,-polychete,-polychaete-worm,-polychete worm
hoary pea
harvestman,-daddy-longlegs,-Phalangium opilio
water-gum,-Nyssa aquatica
anise,-anise-plant,-Pimpinella anisum
red-breasted-snipe,-Limnodromus scolopaceus
sofa,-couch, lounge
potato-tree,-Brazilian-potato-tree,-Solanum-wrightii,-Solanum macranthum
finger-millet,-ragi,-ragee,-African-millet,-coracan,-corakan,-kurakkan,-Eleusine coracana
leopard's-bane, leopardbane
red-fox,-vulpes vulpes
cormorant,-Phalacrocorax carbo
tench,-tinca tinca
Canada-plum,-Prunus nigra
durian
opah,-moonfish,-Lampris regius
alpaca
wild-angelica,-Angelica sylvestris
common-tobacco,-Nicotiana tabacum
bamboo
buffel-grass,-Cenchrus-ciliaris,-Pennisetum cenchroides
leaf-lettuce,-loose-leaf lettuce
sweet-cherry,-Prunus avium
coelenterate, cnidarian
rock-polypody,-rock-brake,-American-wall-fern,-Polypodium virgianum
closed-gentian,-blind-gentian,-bottle-gentian,-Gentiana andrewsii
bryozoan,-polyzoan,-sea-mat,-sea-moss,-moss animal
acarid
hooded-skunk,-Mephitis macroura
shingle-tree,-Acrocarpus fraxinifolius
Astrophyton muricatum
fossorial mammal
robber-fly,-bee killer
albizzia, albizia
pond-pine,-Pinus serotina
breadroot,-Indian-breadroot,-pomme-blanche,-pomme-de-prairie,-Psoralea esculenta
wing chair
meadow-spittlebug,-Philaenus spumarius
gorse,-furze,-whin,-Irish-gorse,-Ulex europaeus
Whipple's-penstemon,-Penstemon whippleanus
true bug
American-oil-palm,-Elaeis oleifera
armyworm,-army-worm,-Pseudaletia unipuncta
peanut
wolffish,-wolf-fish, catfish
salt-reed-grass,-Spartina cynosuroides
pomegranate
chickasaw-plum,-hog-plum,-hog-plum-bush,-Prunus angustifolia
glasswort,-samphire,-Salicornia europaea
bench
prairie-chicken,-prairie-grouse,-prairie fowl
bunchberry,-dwarf-cornel,-crackerberry,-pudding-berry,-Cornus canadensis
goldfields,-Lasthenia chrysostoma
seaside-alder,-Alnus maritima
whiting
sow
black fox
meadow-spikemoss,-basket-spikemoss,-Selaginella apoda
muscadine,-Vitis rotundifolia
Para-rubber-tree,-caoutchouc-tree,-Hevea brasiliensis
pirate, pirate_ship
European-bittern,-Botaurus stellaris
Euphausia pacifica
odontoglossum
European-chestnut,-sweet-chestnut,-Spanish-chestnut,-Castanea sativa
stony-coral,-madrepore,-madriporian coral
river dolphin
seaside centaury
pia,-Indian-arrowroot,-Tacca-leontopetaloides,-Tacca pinnatifida
bufo
spearfish
african-crocodile,-nile-crocodile,-crocodylus niloticus
insectivore
flying fish
antelope-squirrel,-whitetail-antelope-squirrel,-antelope-chipmunk,-Citellus leucurus
grain, caryopsis
motherwort,-Leonurus cardiaca
Kentucky-black-bass,-spotted-black-bass,-Micropterus pseudoplites
columbian-mammoth,-Mammuthus columbi
yellow-avens,-Geum macrophyllum
Ixodes-pacificus,-western-black-legged tick
Agave tequilana
palmetto
showy-daisy,-Erigeron speciosus
florist's-chrysanthemum,-florists'-chrysanthemum,-mum,-Dendranthema-grandifloruom,-Chrysanthemum morifolium
angiosperm,-flowering plant
sild
wild-peach,-Kiggelaria africana
coachwhip,-coachwhip-snake,-Masticophis flagellum
laundry truck
Iceland-poppy,-arctic-poppy,-Papaver nudicaule
lesser-butterfly-orchid,-Platanthera-bifolia,-Habenaria bifolia
silverfish,-Lepisma saccharina
chanar,-chanal,-Geoffroea decorticans
livestock,-stock,-farm animal
gemsbok,-gemsbuck,-Oryx gazella
fever-tree,-Acacia xanthophloea
akee,-akee-tree,-Blighia sapida
bench press
Atlantic-spiny-dogfish,-Squalus acanthias
Korean-lawn-grass,-Japanese-lawn-grass,-Zoysia japonica
horse-mackerel,-saurel,-Trachurus trachurus
caper
folding chair
car,-auto,-automobile,-machine, motorcar
calabash,-calabash-tree,-Crescentia cujete
Short's-aster,-Aster shortii
flying fox
Hooker's-orchid,-Habenaria hookeri
strawflower,-cornflower,-Uvularia grandiflora
jackass-bat,-spotted-bat,-Euderma maculata
rangpur,-rangpur-lime,-lemanderin,-Citrus limonia
Allegheny-chinkapin,-eastern-chinquapin,-chinquapin,-dwarf-chestnut,-Castanea pumila
black-salsify,-viper's-grass,-scorzonera,-Scorzonera hispanica
marabou,-marabout,-marabou-stork,-Leptoptilus crumeniferus
woolly monkey
sailing-vessel,-sailing ship
hind
grevy's-zebra,-Equus grevyi
coffee,-coffee tree
puffer,-pufferfish,-blowfish, globefish
Calvary-clover,-Medicago-intertexta,-Medicago echinus
Philadelphia-fleabane,-Erigeron philadelphicus
bench lathe
American-saddle horse
common-starling,-Sturnus vulgaris
grampus,-Grampus griseus
black-headed snake
fireweed,-Erechtites hieracifolia
sargassum fish
black-haw,-Viburnum prunifolium
sea-swallow,-Sterna hirundo
common-valerian,-garden-heliotrope,-Valeriana officinalis
willow aster
spotted-eagle-ray,-spotted-ray,-Aetobatus narinari
snowy-orchid,-Habenaria nivea
lawyerbush,-lawyer-bush,-bush-lawyer,-Rubus-cissoides,-Rubus australis
common-amsinckia,-Amsinckia intermedia
artillery-plant,-Pilea microphylla
warhorse
jujube,-Chinese-date,-Chinese jujube
trailing-four-o'clock,-trailing-windmills,-Allionia incarnata
black-crowned-night-heron,-Nycticorax nycticorax
sword-bean,-Canavalia gladiata
mouse-ear-chickweed,-mouse-eared-chickweed,-mouse-ear,-clammy-chickweed, chickweed
crab-apple,-crabapple,-cultivated-crab apple
domestic-carp,-Cyprinus carpio
elm,-elm tree
climbing-corydalis,-Corydalis-claviculata,-Fumaria claviculata
beaked whale
diamondback,-diamondback-rattlesnake,-crotalus adamanteus
cocozelle
bleeding-tooth,-Nerita peloronta
parrotfish,-polly-fish, pollyfish
acorn-barnacle,-rock-barnacle,-Balanus balanoides
governor's-plum,-governor-plum,-Madagascar-plum,-ramontchi,-batoko-palm,-Flacourtia indica
California-bluebell,-Phacelia campanularia
baby-bed,-baby's bed
wax-begonia,-Begonia semperflorens
flamingo
Norway-lobster,-Nephrops norvegicus
silverweed
silurid,-silurid fish
allspice-tree,-Pimenta officinalis
dog-fennel,-Eupatorium capillifolium
sea-otter,-Enhydra lutris
wild-medlar,-wild-medlar-tree,-medlar,-Vangueria infausta
rattail-cactus,-rat's-tail-cactus,-Aporocactus flagelliformis
hand-truck, truck
American-coot,-marsh-hen,-mud-hen,-water-hen,-Fulica americana
duckling
Thomson's-gazelle,-Gazella thomsoni
chambered-nautilus,-pearly-nautilus, nautilus
Rambouillet
looking-glass-tree,-Heritiera macrophylla
golden mole
honker,-Canada-goose,-Canadian-goose,-Branta canadensis
swivel chair
cabbageworm,-Pieris rapae
giant-crab,-Macrocheira kaempferi
pickerel
fire-engine,-fire truck
Turk's-cap,-Turk's-cap-lily,-Lilium superbum
narrow-leaf-penstemon,-Penstemon linarioides
baronduki,-baranduki,-barunduki,-burunduki,-Eutamius-asiaticus,-Eutamius sibiricus
snake-muishond,-Poecilogale albinucha
ombu,-bella-sombra,-Phytolacca dioica
soupfin-shark,-soupfin,-soup-fin,-Galeorhinus zyopterus
flowering-fern,-Helminthostachys zeylanica
Chrysaora quinquecirrha
soldierfish, soldier-fish
teak,-Tectona grandis
whelk
carpet-snake,-Python-variegatus,-Morelia-spilotes variegatus
golden-fig,-Florida-strangler-fig,-strangler-fig,-wild-fig,-Ficus aurea
bat, chiropteran
tarahumara-frog,-Rana tarahumarae
Asian-wild ox
metasequoia,-dawn-redwood,-Metasequoia glyptostrodoides
gloxinia
van, caravan
native-cranberry,-groundberry,-ground-berry,-cranberry-heath,-Astroloma-humifusum,-Styphelia humifusum
anaconda,-Eunectes murinus
grey, gray
tarpan,-Equus-caballus gomelini
yellow-fever-mosquito,-Aedes aegypti
common-heath,-blunt-leaf-heath,-Epacris obtusifolia
flying boat
French-sorrel,-garden-sorrel,-Rumex scutatus
plane-tree,-sycamore, platan
silver-birch,-common-birch,-European-white-birch,-Betula pendula
common-limpet,-Patella vulgata
fuji,-fuji-cherry,-Prunus incisa
ship
Cotoneaster dammeri
bongo,-bongo drum
blue-tit,-tomtit,-Parus caeruleus
chimpanzee,-chimp,-Pan troglodytes
american-black-bear,-black-bear,-ursus-americanus,-euarctos americanus
fenugreek,-Greek-clover,-Trigonella foenumgraecum
Pullman,-Pullman car
soapwort,-hedge-pink,-bouncing-Bet,-bouncing-Bess,-Saponaria officinalis
Chinese-goose,-Anser cygnoides
calceolaria, slipperwort
sea gooseberry
duckweed
lapwing,-green-plover,-peewit, pewit
dogie,-dogy, leppy
Javanthropus,-genus Javanthropus
ephedra,-joint fir
dachshund,-dachsie,-badger dog
